,Product Name,Prices,Description,Reviews
50,AVOIHS Gift toys Baby Gift HD 8MP Video Digital Sports Camera 2 Inch Screen Recorder Soft Cover Sports...,₹899,"DIGIC 8 Image Processor, 4K 24p Video with Crop, Full HD 60p, Dual Pixel CMOS AF with 143 AF Zones, 6.5 fps Electronic Shutter, 2.36m-Dot OLED EVF, 3"" 1.04m-Dot LCD Screen, Creative Assist Mode, Silent Mode for Quiet Operation, Bluetooth with SD Card SlotEffective Pixels: 24.1 MPSensor Type: CMOSWiFi Available4K2 Years Warranty",
51,VOLTAC Powershoot 4K S2 Series WIFI for Travel Bike Adventure 170 Degree Wide Angle 30M underwater Wat...,"₹2,104",Effective Pixels: 15.2 MPOptical Zoom: 3x | Digital Zoom: 3xAuto FocusDisplay Size: 2 inch2 Years Warranty,
52,Canon R100 Mirrorless Camera RF-S 18-45mm f/4.5-6.3 IS STM,"₹47,990","Effective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableFull HD, 4K Anamorphic, UHD 4K2 Years Warranty",
53,Canon PowerShot V10,"₹29,990",Effective Pixels: 8 MPHD7 Days Replacement Warranty,
54,"Panasonic DC LUMIX Series DC-S5 Mirrorless Camera Body, Lens","₹2,08,990",Effective Pixels: 12 MPHDNA,
55,Bzrqx Gift Toy Baby Camera 1080P Digital Camera Gift Kids Baby Girls 2.0 Camcorder Video Child Cam Rec...,₹899,Effective Pixels: 12 MPHDNA,
56,Garundropsy action camera Ultra HD 1080P Rechargeable Batteries Sports and Action Camera,"₹2,272",Effective Pixels: 8 MPHD7 Days Replacement Warranty,
57,Garundropsy action camera Ultra HD 1080P Sports and Action Camera,"₹2,374",Effective Pixels: 8 MPHDNA,
58,Bzrqx Gift Toy Baby Camera 1080P Digital Camera Gift Kids Baby Girls 2.0 Camcorder Video Child Cam Rec...,₹899,Effective Pixels: 8 MPHDNA,
59,Mirroreye SPY TABLE CLOCK Wireless Hidden Wireless Hidden Spy WiFi Mini Camera Digital Table Clock wit...,"₹3,134",Effective Pixels: 8 MPHDna,
60,AVOIHS Gift toys 1080P Digital Camera Kids Gift Baby Girls 2 Inch Screen Photos Videos Recording Sport...,₹899,Effective Pixels: 8 MPHD7 Days Replacement Warranty,
61,aoksmd Gift Toy Baby Camera Digital Camera Toys Boys Girls Children Mini Selfie Video 13MP 1080P Camco...,₹899,Effective Pixels: 8 MPHDNA,
62,Bzrqx Gift Toy Baby Camera 1080P Digital Camera Kids Gift Baby Girls 2 Inch Screen Photos Videos Recor...,₹899,Effective Pixels: 8 MPHD7 Days Replacement Warranty,
63,AVOIHS Gift toys Baby Gift HD 8MP Video Digital Sports Camera 2 Inch Screen Recorder Soft Cover Sports...,₹899,Effective Pixels: 8 MPHD7 Days Replacement Warranty,
